Período;Código;Nome;Turma;Siape;Horário;Matrícula;Nota;Situação
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;1674079-5;25N12 (22/07/2019 - 07/12/2019);20190148240;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2103;CÁLCULO I;4;6350665-5;2356N34 (23/09/2019 - 07/12/2019);20190148240;-;DESISTENCIA
2;ECT2104;QUÍMICA GERAL;04A;2276334-3,1481705-7;7M12  36N12 (22/07/2019 - 07/12/2019);20190148240;-;DESISTENCIA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;3891450-8;4N34 (22/07/2019 - 07/12/2019);20190148240;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1753033-6;4N12 (22/07/2019 - 07/12/2019);20190148240;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2101;PRÉ-CÁLCULO;4;2998751-4;2356N34 (22/07/2019 - 21/09/2019);20190148268;-;DESISTENCIA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;1674079-5;25N12 (22/07/2019 - 07/12/2019);20190148268;-;DESISTENCIA
2;ECT2103;CÁLCULO I;4;6350665-5;2356N34 (23/09/2019 - 07/12/2019);20190148268;-;DESISTENCIA
2;ECT2104;QUÍMICA GERAL;04A;2276334-3,1481705-7;7M12  36N12 (22/07/2019 - 07/12/2019);20190148268;-;DESISTENCIA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;3891450-8;4N34 (22/07/2019 - 07/12/2019);20190148268;-;DESISTENCIA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1753033-6;4N12 (22/07/2019 - 07/12/2019);20190148268;-;DESISTENCIA
2;ECT2101;PRÉ-CÁLCULO;1;2646069-8;2356T12 (22/07/2019 - 21/09/2019);20190148286;5.00;APROVADO POR NOTA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2571630-3;25T34 (22/07/2019 - 07/12/2019);20190148286;-;EXCLUIDA
2;ECT2103;CÁLCULO I;1;2196137-1;2356T12 (23/09/2019 - 07/12/2019);20190148286;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;01A;3432383-1,1481705-7;2M12  36T34 (22/07/2019 - 07/12/2019);20190148286;-;EXCLUIDA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;1746024-9;4T34 (22/07/2019 - 07/12/2019);20190148286;-;DESISTENCIA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1753033-6;4T12 (22/07/2019 - 07/12/2019);20190148286;7.90;APROVADO
2;ECT2101;PRÉ-CÁLCULO;1;2646069-8;2356T12 (22/07/2019 - 21/09/2019);20190148301;-;EXCLUIDA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2571630-3;25T34 (22/07/2019 - 07/12/2019);20190148301;-;DESISTENCIA
2;ECT2103;CÁLCULO I;1;2196137-1;2356T12 (23/09/2019 - 07/12/2019);20190148301;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;01A;1481705-7,3432383-1;2M12  36T34 (22/07/2019 - 07/12/2019);20190148301;-;EXCLUIDA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;1746024-9;4T34 (22/07/2019 - 07/12/2019);20190148301;-;EXCLUIDA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1753033-6;4T12 (22/07/2019 - 07/12/2019);20190148301;4.60;REPROVADO POR MÉDIA E POR FALTAS
